query,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Nsp13,Reactome_2022,AURKA Activation By TPX2 R-HSA-8854518,9/72,1.5124174598498598e-14,1.285554840872381e-12,0,0,91.69124423963132,2917.842966116672,CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,9/80,4.074998693455591e-14,1.945640145196972e-12,0,0,81.32712403452976,2507.4226570184983,CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Centrosome Maturation R-HSA-380287,9/81,4.5779768122281694e-14,1.945640145196972e-12,0,0,80.19354838709677,2463.139557599088,CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,9/87,8.925392916824198e-14,3.0346335917202274e-12,0,0,74.00248138957816,2223.574089403138,CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,9/97,2.4523800990673717e-13,6.9484102806908855e-12,0,0,65.56011730205279,1903.6394396216888,CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,G2/M Transition R-HSA-69275,10/182,2.03179584474239e-12,4.769914063094103e-11,0,0,38.34883720930232,1032.4312709347432,CENPF;CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Mitotic G2-G2/M Phases R-HSA-453274,10/184,2.2665325368652506e-12,4.769914063094103e-11,0,0,37.90421455938697,1016.316985839416,CENPF;CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Mitotic Prometaphase R-HSA-68877,10/186,2.5252486216380544e-12,4.769914063094103e-11,0,0,37.46969696969697,1000.6163270006764,CENPF;CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,M Phase R-HSA-68886,12/380,6.442149983008424e-12,1.0951654971114319e-10,0,0,22.816770186335404,587.9461570820501,GOLGA2;CENPF;CEP135;PRKAR2B;GORASP1;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Cilium Assembly R-HSA-5617833,9/186,9.138125690798122e-11,1.4122557885778916e-09,0,0,32.44887916894478,750.0876654220414,CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",12/523,2.587865863371438e-10,3.6661433064428702e-09,0,0,16.311713726586525,360.0813640914602,GOLGA2;CENPF;CEP135;PRKAR2B;GORASP1;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Organelle Biogenesis And Maintenance R-HSA-1852241,9/275,2.902898336878427e-09,3.7960978251487124e-08,0,0,21.494785350472956,422.5349504435764,CEP135;PRKAR2B;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Cell Cycle R-HSA-1640170,12/654,3.263855658015747e-09,3.963253299019122e-08,0,0,12.895861148197596,251.98972579961836,GOLGA2;CENPF;CEP135;PRKAR2B;GORASP1;CNTRL;AKAP9;CEP250;PCNT;NINL;CEP43;CDK5RAP2
Nsp13,Reactome_2022,Repression Of WNT Target Genes R-HSA-4641265,3/14,2.656550882962849e-06,3.0107576673578957e-05,0,0,147.04422604422604,1887.8246400240337,TLE3;TLE1;TLE5
Nsp13,Reactome_2022,CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720,2/12,0.00025416386531107297,0.0027004910689301,0,0,105.0,869.1407927935406,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,2/14,0.00034955273047183893,0.0034955273047183,0,0,87.49122807017544,696.3300971664896,GOLGA2;GORASP1
Nsp13,Reactome_2022,PKA Activation In Glucagon Signaling R-HSA-164378,2/16,0.0004597842333580924,0.0043424066483819,0,0,74.98496240601504,576.2409325339859,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,PKA Activation R-HSA-163615,2/17,0.0005204302673761171,0.0044236572726969,0,0,69.98245614035088,529.127179015688,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,2/17,0.0005204302673761171,0.0044236572726969,0,0,69.98245614035088,529.127179015688,CNTRL;CEP43
Nsp13,Reactome_2022,COPI-mediated Anterograde Transport R-HSA-6807878,3/80,0.000547253209801017,0.0044301450317225,0,0,20.936819936819937,157.24805796467425,GOLGA2;GORASP1;GOLGB1
Nsp13,Reactome_2022,Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,3/84,0.0006311698221110394,0.0048243918105461,0,0,19.8988988988989,146.61380559639193,TLE3;TLE1;TLE5
Nsp13,Reactome_2022,PKA-mediated Phosphorylation Of CREB R-HSA-111931,2/19,0.0006527118331915355,0.0048243918105461,0,0,61.74303405572755,452.8465544668573,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,DARPP-32 Events R-HSA-180024,2/24,0.0010468624608583,0.0074152757644131,0,0,47.698564593301434,327.30553357779627,PRKAR2B;PRKAR2A
Nsp13,GO_Biological_Process_2023,Establishment Of Protein Localization To Plasma Membrane (GO:0061951),3/38,5.955397710089613e-05,0.009379966554743,0,0,46.15830115830116,449.0569170087787,GORASP1;RDX;GCC2
Nsp13,GO_Biological_Process_2023,Negative Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000480),2/7,8.138329442154036e-05,0.009379966554743,0,0,210.05263157894737,1977.9271090636855,PRKAR2B;PRKAR2A
Nsp13,GO_Biological_Process_2023,I-kappaB kinase/NF-kappaB Signaling (GO:0007249),3/45,9.920772536011586e-05,0.009379966554743,0,0,38.45173745173745,354.459446407113,TBK1;TBKBP1;ERC1
Nsp13,GO_Biological_Process_2023,Golgi Ribbon Formation (GO:0090161),2/8,0.00010837395249617636,0.009379966554743,0,0,175.03508771929825,1598.0568361483106,GOLGA2;GCC2
Nsp13,GO_Biological_Process_2023,Golgi Organization (GO:0007030),4/130,0.00012991643427622018,0.009379966554743,0,0,17.49029982363316,156.51403154680128,GOLGA2;GORASP1;GOLGB1;GCC2
Nsp13,Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,5/424,0.0014937900055906,0.010157772038016,0,0,6.662461643368564,43.34889867780873,GOLGB1;CNTRL;AKAP9;GCC2;CEP43
Nsp13,GO_Biological_Process_2023,Microtubule Anchoring At Centrosome (GO:0034454),2/10,0.00017373245503849396,0.0104529027114827,0,0,131.26315789473685,1136.4756409312342,NIN;NINL
Nsp13,Reactome_2022,FGFR1 Mutant Receptor Activation R-HSA-1839124,2/30,0.0016374867723787,0.0107066442809379,0,0,37.46616541353384,240.3301899756201,CNTRL;CEP43
Nsp13,Reactome_2022,Glucagon Signaling In Metabolic Regulation R-HSA-163359,2/32,0.001862401689337,0.0117262328587891,0,0,34.96491228070175,219.78553627984223,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,CaM Pathway R-HSA-111997,2/33,0.0019800550402056,0.0120217627441059,0,0,33.835314091680814,210.6123326933283,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,ER To Golgi Anterograde Transport R-HSA-199977,3/133,0.0023729831564073,0.013013133438363,0,0,12.367983367983369,74.74723580050274,GOLGA2;GORASP1;GOLGB1
Nsp13,Reactome_2022,Signaling By FGFR1 In Disease R-HSA-5655302,2/36,0.0023536356819974,0.013013133438363,0,0,30.845201238390093,186.6688052523798,CNTRL;CEP43
Nsp13,Reactome_2022,Ca-dependent Events R-HSA-111996,2/35,0.0022256855706671,0.013013133438363,0,0,31.781499202551835,194.11155405486485,PRKAR2B;PRKAR2A
Nsp13,GO_Biological_Process_2023,Microtubule Anchoring At Microtubule Organizing Center (GO:0072393),2/12,0.00025416386531107297,0.0131075936253281,0,0,105.0,869.1407927935406,NIN;NINL
Nsp13,GO_Biological_Process_2023,Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000479),2/13,0.0002999958070148033,0.0135373107915429,0,0,95.44976076555024,774.2638390210535,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,FCGR3A-mediated IL10 Synthesis R-HSA-9664323,2/38,0.0026197382113525,0.0139173592478104,0,0,29.12865497076023,173.1605584259493,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,DAG And IP3 Signaling R-HSA-1489509,2/39,0.0027578637887595,0.0142071770936098,0,0,28.339971550497868,167.01592283916753,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402,2/42,0.003192377519186,0.0150751160628229,0,0,26.210526315789473,150.63161522690567,TLE3;TLE1
Nsp13,Reactome_2022,Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,2/42,0.003192377519186,0.0150751160628229,0,0,26.210526315789473,150.63161522690567,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040,2/42,0.003192377519186,0.0150751160628229,0,0,26.210526315789473,150.63161522690567,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,GPER1 Signaling R-HSA-9634597,2/43,0.0033438834663094,0.0153637888992594,0,0,25.569961489088573,145.76469607458566,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,PLC Beta Mediated Events R-HSA-112043,2/47,0.0039828953200469,0.0176410262012383,0,0,23.292397660818715,128.70787918647866,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,2/48,0.004150829694409,0.0176410262012383,0,0,22.784897025171624,124.96256100900636,GCC2;GCC1
Nsp13,Reactome_2022,NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947,2/48,0.004150829694409,0.0176410262012383,0,0,22.784897025171624,124.96256100900636,TLE3;TLE1
Nsp13,Reactome_2022,Transport To Golgi And Subsequent Modification R-HSA-948021,3/164,0.0042815526142988,0.0177527791324585,0,0,9.970958536175928,54.37601988006976,GOLGA2;GORASP1;GOLGB1
Nsp13,Reactome_2022,Aquaporin-mediated Transport R-HSA-445717,2/50,0.0044964248068071,0.0181998146942194,0,0,21.833333333333332,117.99765363023796,PRKAR2B;PRKAR2A
Nsp13,GO_Biological_Process_2023,Protein Kinase A Signaling (GO:0010737),2/16,0.0004597842333580924,0.0184424564713634,0,0,74.98496240601504,576.2409325339859,RDX;PRKACA
Nsp13,GO_Biological_Process_2023,Protein Localization To Centrosome (GO:0071539),2/17,0.0005204302673761171,0.0187875326522778,0,0,69.98245614035088,529.127179015688,GOLGB1;CEP250
Nsp13,Reactome_2022,G-protein Mediated Events R-HSA-112040,2/52,0.004854901976284,0.0191937985108906,0,0,20.957894736842107,111.65876671681582,PRKAR2B;PRKAR2A
Nsp13,GO_Biological_Process_2023,Endomembrane System Organization (GO:0010256),4/196,0.0006202897771935407,0.0203567826878971,0,0,11.439814814814817,84.486736694308,GOLGA2;HOOK1;GORASP1;GOLGB1
Nsp13,Reactome_2022,Disease R-HSA-1643685,9/1736,0.0063280957346184,0.0234625190345105,0,0,3.0651138464986833,15.517923271525143,GOLGA2;TBK1;PRKAR2B;PRKAR2A;GOLGB1;CNTRL;AKAP9;GCC2;CEP43
Nsp13,Reactome_2022,Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,2/60,0.0064155759281884,0.0234625190345105,0,0,18.05989110707804,91.18486890563892,TLE3;TLE1
Nsp13,Reactome_2022,Membrane Trafficking R-HSA-199991,5/599,0.0065596565617679,0.0234625190345105,0,0,4.657527657527657,23.41253935021529,GOLGA2;GORASP1;GOLGB1;GCC2;GCC1
Nsp13,Reactome_2022,Post NMDA Receptor Activation Events R-HSA-438064,2/61,0.0066247112568029,0.0234625190345105,0,0,17.752899197145407,89.06538085465397,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,Signaling By FGFR In Disease R-HSA-1226099,2/61,0.0066247112568029,0.0234625190345105,0,0,17.752899197145407,89.06538085465397,CNTRL;CEP43
Nsp13,GO_Biological_Process_2023,Regulation Of Anoikis (GO:2000209),2/21,0.0007995517676019706,0.0240531823420259,0,0,55.2382271468144,393.92916747621626,TLE1;TLE5
Nsp13,Reactome_2022,COPII-mediated Vesicle Transport R-HSA-204005,2/66,0.0077163439660645,0.0267709892700199,0,0,16.361842105263158,79.59078372846072,GOLGA2;GORASP1
Nsp13,Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,5/637,0.0084500963908993,0.0287303277290578,0,0,4.368896925858952,20.85526776133482,GOLGA2;GORASP1;GOLGB1;GCC2;GCC1
Nsp13,GO_Biological_Process_2023,Regulation Of Organelle Organization (GO:0033043),3/100,0.0010476950310726,0.0290936850936328,0,0,16.60323209807746,113.9174773737536,RDX;AKAP9;PDE4DIP
Nsp13,Reactome_2022,Signaling By NOTCH1 R-HSA-1980143,2/74,0.0096192643478777,0.0314475949834464,0,0,14.538011695906432,67.51434442117609,TLE3;TLE1
Nsp13,Reactome_2022,Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,2/74,0.0096192643478777,0.0314475949834464,0,0,14.538011695906432,67.51434442117609,PRKAR2B;PRKAR2A
Nsp13,Reactome_2022,IRF3 Mediated Activation Of Type 1 IFN R-HSA-1606341,1/5,0.0099609694951761,0.031950279512829,0,0,127.92307692307692,589.6078070933972,TBK1
Nsp13,Reactome_2022,Regulation Of Insulin Secretion R-HSA-422356,2/77,0.010381380159978,0.0326821227258567,0,0,13.95438596491228,63.740027135097975,PRKAR2B;PRKAR2A
Nsp13,GO_Biological_Process_2023,Regulation Of Autophagy (GO:0010506),4/241,0.0013369396014953,0.0344739425814167,0,0,9.246601031411158,61.18820020781022,USP13;GOLGA2;TBK1;PRKACA
Nsp13,GO_Biological_Process_2023,Positive Regulation Of Microtubule Polymerization (GO:0031116),2/29,0.0015302525036529,0.0345263221136694,0,0,38.85575048732944,251.87550649817445,PDE4DIP;CDK5RAP2
Nsp13,GO_Biological_Process_2023,Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),3/114,0.0015282016878974,0.0345263221136694,0,0,14.49890430971512,94.00601814542108,TLE3;TLE1;TLE5
Nsp13,GO_Biological_Process_2023,Regulation Of Protein Binding (GO:0043393),3/118,0.0016869727606948,0.0358233627418144,0,0,13.991774383078733,89.33495562968292,GOLGA2;PRKACA;TLE5
Nsp13,Reactome_2022,Opioid Signaling R-HSA-111885,2/88,0.0133954552955023,0.0414041345497345,0,0,12.16279069767442,52.45616763706841,PRKAR2B;PRKAR2A
Nsp13,GO_Biological_Process_2023,Cytosolic Transport (GO:0016482),3/127,0.0020810135523274,0.0417358829105671,0,0,12.970357454228422,80.09066308696802,HOOK1;GCC2;ERC1
Nsp13,GO_Biological_Process_2023,Cellular Response To Heat (GO:0034605),2/40,0.0028993544104051,0.0418666776862506,0,0,27.592797783933516,161.23208980213658,HSBP1;PRKACA
Nsp13,GO_Biological_Process_2023,Regulation Of Intracellular Protein Transport (GO:0033157),2/36,0.0023536356819974,0.0418666776862506,0,0,30.845201238390093,186.6688052523798,GCC2;PCNT
Nsp13,GO_Biological_Process_2023,Type I Interferon-Mediated Signaling Pathway (GO:0060337),2/37,0.0024849910419855,0.0418666776862506,0,0,29.96240601503759,179.69911732131763,TBK1;TBKBP1
Nsp13,GO_Biological_Process_2023,Protein Localization To Organelle (GO:0033365),3/137,0.0025810504679155,0.0418666776862506,0,0,11.99636950383219,71.49306950229555,CEP68;CEP250;GCC2
Nsp13,GO_Biological_Process_2023,Cellular Response To Type I Interferon (GO:0071357),2/38,0.0026197382113525,0.0418666776862506,0,0,29.12865497076023,173.1605584259493,TBK1;TBKBP1
Nsp13,GO_Biological_Process_2023,Negative Regulation Of Wnt Signaling Pathway (GO:0030178),3/140,0.0027442876968701,0.0418666776862506,0,0,11.731899782994674,69.19748700315135,TLE3;TLE1;TLE5
Nsp13,GO_Biological_Process_2023,Regulation Of Microtubule Polymerization (GO:0031113),2/40,0.0028993544104051,0.0418666776862506,0,0,27.592797783933516,161.23208980213658,AKAP9;CDK5RAP2
Nsp13,Reactome_2022,ROBO Receptors Bind AKAP5 R-HSA-9010642,1/8,0.0158910747267934,0.0482407625634801,0,0,73.08791208791209,302.7299612299731,PRKAR2A
Nsp13,Reactome_2022,Hedgehog Off State R-HSA-5610787,2/98,0.0164251905747383,0.0489874104860616,0,0,10.890350877192985,44.74778866221147,PRKAR2B;PRKAR2A
Nsp14,GO_Biological_Process_2023,Glycoside Metabolic Process (GO:0016137),1/5,0.0007498314718703743,0.0034988714409983,0,0,2499.125,17982.858997820545,GLA
Nsp14,GO_Biological_Process_2023,Glycosyl Compound Catabolic Process (GO:1901658),1/5,0.0007498314718703743,0.0034988714409983,0,0,2499.125,17982.858997820545,GLA
Nsp14,GO_Biological_Process_2023,Glycosylceramide Catabolic Process (GO:0046477),1/5,0.0007498314718703743,0.0034988714409983,0,0,2499.125,17982.858997820545,GLA
Nsp14,GO_Biological_Process_2023,Glycosylceramide Metabolic Process (GO:0006677),1/5,0.0007498314718703743,0.0034988714409983,0,0,2499.125,17982.858997820545,GLA
Nsp14,GO_Biological_Process_2023,Regulation Of Ketone Biosynthetic Process (GO:0010566),1/6,0.0008997538788767587,0.0034988714409983,0,0,1999.2,14021.167888467728,SIRT5
Nsp14,GO_Biological_Process_2023,Negative Regulation Of Nitric Oxide Biosynthetic Process (GO:0045019),1/7,0.0010496614322994,0.0034988714409983,0,0,1665.9166666666667,11427.001554688257,GLA
Nsp14,GO_Biological_Process_2023,Negative Regulation Of Nitric Oxide Metabolic Process (GO:1904406),1/7,0.0010496614322994,0.0034988714409983,0,0,1665.9166666666667,11427.001554688257,GLA
Nsp14,GO_Biological_Process_2023,Glycoside Catabolic Process (GO:0016139),1/7,0.0010496614322994,0.0034988714409983,0,0,1665.9166666666667,11427.001554688257,GLA
Nsp14,GO_Biological_Process_2023,Negative Regulation Of Monooxygenase Activity (GO:0032769),1/7,0.0010496614322994,0.0034988714409983,0,0,1665.9166666666667,11427.001554688257,GLA
Nsp14,GO_Biological_Process_2023,Glycosphingolipid Catabolic Process (GO:0046479),1/9,0.0013494318923464,0.0040482956770392,0,0,1249.3125,8255.5464452602,GLA
Nsp14,GO_Biological_Process_2023,Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206),1/10,0.0014992947695318,0.0040889857350868,0,0,1110.4444444444443,7220.954198683598,IMPDH2
Nsp14,GO_Biological_Process_2023,GTP Metabolic Process (GO:0046039),1/13,0.0019487938770013,0.004496770571518,0,0,832.7083333333334,5196.553511599695,IMPDH2
Nsp14,GO_Biological_Process_2023,Regulation Of Cellular Ketone Metabolic Process (GO:0010565),1/13,0.0019487938770013,0.004496770571518,0,0,832.7083333333334,5196.553511599695,SIRT5
Nsp14,GO_Biological_Process_2023,Sphingolipid Catabolic Process (GO:0030149),1/15,0.002248385285759,0.004496770571518,0,0,713.6785714285714,4351.685756891909,GLA
Nsp14,GO_Biological_Process_2023,Ceramide Catabolic Process (GO:0046514),1/15,0.002248385285759,0.004496770571518,0,0,713.6785714285714,4351.685756891909,GLA
Nsp14,GO_Biological_Process_2023,Protein Deacylation (GO:0035601),1/20,0.0029971022769704,0.0055531779252033,0,0,525.7368421052631,3054.5885497256336,SIRT5
Nsp14,GO_Biological_Process_2023,Negative Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000378),1/21,0.0031468008242819,0.0055531779252033,0,0,499.425,2877.3716896348615,SIRT5
Nsp14,GO_Biological_Process_2023,Regulation Of Nitric-Oxide Synthase Activity (GO:0050999),1/28,0.0041942719009199,0.0069904531681999,0,0,369.8148148148149,2024.379431258311,GLA
Nsp14,GO_Biological_Process_2023,Glycosphingolipid Metabolic Process (GO:0006687),1/32,0.0047924977347936,0.0075671016865162,0,0,322.03225806451616,1719.8788256956173,GLA
Nsp14,GO_Biological_Process_2023,Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),1/39,0.0058388170461227,0.0085546162885417,0,0,262.61842105263156,1350.7061704673467,GLA
Nsp14,GO_Biological_Process_2023,Protein Deacetylation (GO:0006476),1/40,0.0059882314019791,0.0085546162885417,0,0,255.8717948717949,1309.541398623503,SIRT5
Nsp14,GO_Biological_Process_2023,Oligosaccharide Metabolic Process (GO:0009311),1/48,0.0071830078183245,0.0093691406325971,0,0,212.2340425531915,1047.5951010155554,GLA
Nsp14,GO_Biological_Process_2023,Negative Regulation Of Cellular Metabolic Process (GO:0031324),1/46,0.0068844034482568,0.0093691406325971,0,0,221.6888888888889,1103.6774229731402,SIRT5
Nsp14,GO_Biological_Process_2023,Purine Ribonucleotide Biosynthetic Process (GO:0009152),1/55,0.0082276520870908,0.0100521926114611,0,0,184.65740740740745,886.4025678735231,IMPDH2
Nsp14,GO_Biological_Process_2023,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),1/56,0.0083768271762176,0.0100521926114611,0,0,181.29090909090908,866.9849864024002,SIRT5
Nsp14,GO_Biological_Process_2023,Regulation Of Cellular Biosynthetic Process (GO:0031326),1/70,0.0104637089013925,0.0120735102708375,0,0,144.40579710144928,658.467662524263,SIRT5
Nsp14,KEGG_2021_Human,Glycerolipid metabolism,1/61,0.0091224783761209,0.0145959654017935,0,0,166.14166666666668,780.3696944503212,GLA
Nsp14,KEGG_2021_Human,Sphingolipid metabolism,1/49,0.0073322875730407,0.0145959654017935,0,0,207.80208333333337,1021.4444344646477,GLA
Nsp14,KEGG_2021_Human,Nicotinate and nicotinamide metabolism,1/35,0.0052410100460964,0.0145959654017935,0,0,293.5735294117647,1541.6253665904292,SIRT5
Nsp14,KEGG_2021_Human,Glycosphingolipid biosynthesis,1/45,0.006735078830116,0.0145959654017935,0,0,226.73863636363637,1133.7897191126328,GLA
Nsp14,KEGG_2021_Human,Galactose metabolism,1/31,0.0046429637132384,0.0145959654017935,0,0,332.78333333333336,1787.845973802925,GLA
Nsp14,Reactome_2022,Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817,1/10,0.0014992947695318,0.015590351016011,0,0,1110.4444444444443,7220.954198683598,IMPDH2
Nsp14,Reactome_2022,Nucleotide Biosynthesis R-HSA-8956320,1/13,0.0019487938770013,0.015590351016011,0,0,832.7083333333334,5196.553511599695,IMPDH2
Nsp14,GO_Biological_Process_2023,Peptidyl-Lysine Modification (GO:0018205),1/94,0.0140344078673636,0.0155937865192929,0,0,107.01075268817203,456.5339023790776,SIRT5
Nsp14,Reactome_2022,Azathioprine ADME R-HSA-9748787,1/21,0.0031468008242819,0.0167829377295035,0,0,499.425,2877.3716896348615,IMPDH2
Nsp14,KEGG_2021_Human,Drug metabolism,1/108,0.0161133446145418,0.0192262684961311,0,0,92.94392523364486,383.6825141169491,IMPDH2
Nsp14,KEGG_2021_Human,Lysosome,1/128,0.0190781830955974,0.0192262684961311,0,0,78.22834645669292,309.72243930029543,GLA
Nsp14,KEGG_2021_Human,Purine metabolism,1/129,0.0192262684961311,0.0192262684961311,0,0,77.61328125,306.68715661620973,IMPDH2
Nsp14,GO_Biological_Process_2023,Negative Regulation Of Cellular Biosynthetic Process (GO:0031327),1/137,0.020410415306419,0.0218683021140203,0,0,73.01838235294117,284.1663654413698,GLA
Nsp14,GO_Biological_Process_2023,Mitochondrion Organization (GO:0007005),1/162,0.024104731206729,0.0249359288345473,0,0,61.60248447204969,229.49063947550405,SIRT5
Nsp14,Reactome_2022,Metabolism Of Nucleotides R-HSA-15869,1/95,0.0141830003471832,0.0289602810624966,0,0,105.86702127659576,450.5394671189797,IMPDH2
Nsp14,Reactome_2022,Drug ADME R-HSA-9748784,1/95,0.0141830003471832,0.0289602810624966,0,0,105.86702127659576,450.5394671189797,IMPDH2
Nsp14,Reactome_2022,Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,1/52,0.0077800371147531,0.0289602810624966,0,0,195.54901960784315,949.624009021504,SIRT5
Nsp14,Reactome_2022,Mitochondrial Biogenesis R-HSA-1592230,1/89,0.0132912215554317,0.0289602810624966,0,0,113.1193181818182,488.7491512268038,SIRT5
Nsp14,Reactome_2022,Potential Therapeutics For SARS R-HSA-9679191,1/97,0.0144801405312483,0.0289602810624966,0,0,103.65104166666669,438.9597968541588,IMPDH2
Nsp15,KEGG_2021_Human,Endocytosis,2/252,0.00047044658699175665,0.003763572695934,0,0,157.976,1210.384960556101,RNF41;ARF6
Nsp15,Reactome_2022,Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803,1/13,0.0019487938770013,0.0103935673440073,0,0,832.7083333333334,5196.553511599695,RNF41
Nsp15,Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,2/496,0.0018111306853196,0.0103935673440073,0,0,78.95951417004049,498.53489172404574,RNF41;ARF6
Nsp15,Reactome_2022,MET Receptor Recycling R-HSA-8875656,1/9,0.0013494318923464,0.0103935673440073,0,0,1249.3125,8255.5464452602,ARF6
Nsp15,Reactome_2022,Downregulation Of ERBB2 Signaling R-HSA-8863795,1/29,0.0043438507968609,0.0173754031874437,0,0,356.5892857142857,1939.4870011141588,RNF41
Nsp15,Reactome_2022,Signaling By ERBB2 R-HSA-1227986,1/49,0.0073322875730407,0.0195527668614421,0,0,207.80208333333337,1021.4444344646477,RNF41
Nsp15,Reactome_2022,TBC/RABGAPs R-HSA-8854214,1/45,0.006735078830116,0.0195527668614421,0,0,226.73863636363637,1133.7897191126328,ARF6
Nsp15,GO_Biological_Process_2023,Ruffle Assembly (GO:0097178),1/5,0.0007498314718703743,0.0206181411081528,0,0,2499.125,17982.858997820545,ARF6
Nsp15,GO_Biological_Process_2023,Positive Regulation Of Protein Transport (GO:0051222),1/70,0.0104637089013925,0.0206181411081528,0,0,144.40579710144928,658.467662524263,ARF6
Nsp15,GO_Biological_Process_2023,Regulation Of Actin Filament Polymerization (GO:0030833),1/70,0.0104637089013925,0.0206181411081528,0,0,144.40579710144928,658.467662524263,ARF6
Nsp15,GO_Biological_Process_2023,Protein Autoubiquitination (GO:0051865),1/71,0.0106126597969386,0.0206181411081528,0,0,142.3357142857143,647.0165481479889,RNF41
Nsp15,GO_Biological_Process_2023,Positive Regulation Of Secretion By Cell (GO:1903532),1/73,0.0109105167657239,0.0206181411081528,0,0,138.36805555555554,625.1507650815512,ARF6
Nsp15,GO_Biological_Process_2023,Import Into Nucleus (GO:0051170),1/74,0.0110594228380556,0.0206181411081528,0,0,136.46575342465752,614.7062292455009,NUTF2
Nsp15,GO_Biological_Process_2023,Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),1/75,0.0112083139716831,0.0206181411081528,0,0,134.61486486486487,604.5687465206931,ARF6
Nsp15,GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Membrane (GO:1905477),1/79,0.0118037291244741,0.0206181411081528,0,0,127.68589743589745,566.841082547516,ARF6
Nsp15,GO_Biological_Process_2023,Regulation Of Ras Protein Signal Transduction (GO:0046578),1/76,0.0113571901659932,0.0206181411081528,0,0,132.81333333333333,594.7253885716618,ARF6
