query,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
M,Reactome_2022,Mitochondrial Protein Import R-HSA-1268020,3/65,0.00012492821606665156,0.007786430020216,0,0,35.67741935483871,320.66048420441507,PITRM1;PMPCB;PMPCA
M,GO_Biological_Process_2023,Positive Regulation Of Potassium Ion Transmembrane Transport (GO:1901381),2/17,0.00029169286205301905,0.0088237090771038,0,0,95.02380952380952,773.4756743774749,ANO6;ATP1B1
M,GO_Biological_Process_2023,Intracellular Zinc Ion Homeostasis (GO:0006882),2/17,0.00029169286205301905,0.0088237090771038,0,0,95.02380952380952,773.4756743774749,SLC30A7;SLC30A9
M,GO_Biological_Process_2023,Pore Complex Assembly (GO:0046931),2/19,0.0003660779772984416,0.0098434300562469,0,0,83.83613445378151,663.3671793000248,ANO6;RTN4
M,Reactome_2022,Processing Of SMDT1 R-HSA-8949664,2/16,0.00025761600687002403,0.011283581100907,0,0,101.81632653061224,841.4142385973647,PMPCB;PMPCA
M,GO_Biological_Process_2023,Microtubule Nucleation (GO:0007020),2/23,0.0005396091866801571,0.0130585423176598,0,0,67.85374149659864,510.5767014966948,TUBGCP2;TUBGCP3
M,Reactome_2022,Mitochondrial Calcium Ion Transport R-HSA-8949215,2/22,0.0004931459174352375,0.0179998259863861,0,0,71.25,542.5477632515199,PMPCB;PMPCA
M,GO_Biological_Process_2023,Microtubule Polymerization (GO:0046785),2/34,0.0011843277749014,0.0260552110478322,0,0,44.504464285714285,299.8968904507324,TUBGCP2;TUBGCP3
M,GO_Biological_Process_2023,Regulation Of Intracellular Transport (GO:0032386),2/38,0.0014785875016258,0.0298181812827883,0,0,39.551587301587304,257.74456480935885,REEP5;REEP6
M,GO_Biological_Process_2023,Monoatomic Cation Transport (GO:0006812),2/42,0.0018041720679571,0.0335853569573567,0,0,35.589285714285715,224.8407747627622,ANO6;ATP1B1
M,GO_Biological_Process_2023,Regulation Of Transport (GO:0051049),2/44,0.0019785984341856,0.0342014872194948,0,0,33.89115646258504,210.9848716626915,REEP5;REEP6
