bait,candidate_gene,n_edges_to_known_preys,max_string_score,connected_to,already_interacts_with_other_baits
Orf9c,NDUFAF4,5,0.988,ACAD9;BCS1L;ECSIT;NDUFAF1;NDUFB9,
Orf9c,NDUFAF2,5,0.976,ACAD9;BCS1L;ECSIT;NDUFAF1;NDUFB9,Nsp7
Orf9c,FOXRED1,5,0.961,ACAD9;BCS1L;ECSIT;NDUFAF1;NDUFB9,
Orf9c,NDUFAF3,4,0.999,ACAD9;ECSIT;NDUFAF1;NDUFB9,
Orf9c,TIMMDC1,4,0.999,ACAD9;ECSIT;NDUFAF1;NDUFB9,
Orf9c,PIGB,4,0.979,ALG8;GPAA1;PIGO;PIGS,
Orf9c,TMEM186,4,0.961,ACAD9;ECSIT;NDUFAF1;NDUFB9,
Orf9c,COA1,4,0.864,ACAD9;ECSIT;NDUFAF1;NDUFB9,
Orf9c,PIGU,3,0.999,GPAA1;PIGO;PIGS,
Orf9c,PIGF,3,0.937,GPAA1;PIGO;PIGS,
